"Activate PayPal Express payment","&quot;Direkt zu PayPal&quot; aktivieren?"
"Test mode (sandbox) for PayPal payment","Testmodus (Sandbox) für PayPal-Zahlungen"
"IntegerNet_MagentoLocalizedEbay::Email Associated with PayPal Merchant Account","Email-Adresse des PayPal Händler-Kontos"
"Setup of PayPal","Einrichtung von PayPal"
"Setup of modules powered by PayPal","Einrichtung Module powered by PayPal"
"IntegerNet_MagentoLocalizedEbay::What is PayPal? Click for more info or to register.","Was ist PayPal? Klicken Sie hier für mehr Informationen oder zum Anmelden."
"Please enter the e-mail address of your PayPal merchant account.","Bitte tragen Sie hier die E-Mail-Adresse Ihres PayPal Händlerkontos ein."
"The information on setting the PayPal API you will find in your PayPal merchant account under the menu item PayPal &gt; My account &gt; My profile &gt; Merchant &gt; <a href=""%s"" target=""_blank"">API access</a>.","Die Informationen zur Einstellung der PayPal API finden Sie in Ihrem PayPal Händlerkonto unter dem Menüpunkt PayPal &gt; Mein Konto &gt; Mein Profil &gt; Verkäufer/ Händler &gt; <a href=""%s"" target=""_blank"">API-Zugriff</a>."
"You have any further questions about your merchant account? <a href=""%s"" target=""_blank"">Please click here</a>.","Sie haben weitere Fragen zu Ihrem Händlerkonto? <a href=""%s"" target=""_blank"">Klicken Sie hier</a>."
"You have the option to make further settings for PayPal after you finished the setup here.","Sie haben die Möglichkeit, erweiterte Einstellungen für PayPal vorzunehmen, nachdem Sie die Einstellung hier beendet haben."

"Configure PayPal Express","PayPal Express konfigurieren"

"Install now","Jetzt installieren"

"You have successfully activated PayPal payment. Anytime you have the possibility to select advanced settings <a href=""%s"">here</a>.","Sie haben die Zahlungsart PayPal erfolgreich eingerichtet. Sie haben jederzeit die Möglichkeit, erweiterte Einstellungen <a href=""%s"">hier</a> vorzunehmen."

"IntegerNet_MagentoLocalizedEbay::No","Nein"
"IntegerNet_MagentoLocalizedEbay::Yes","Ja"

"Activate PayPal PLUS?","PayPal PLUS aktivieren?"
"Client ID","Klienten-ID"
"Client Secret","Klienten-Schlüssel"
"Header Image URL","URL Ihres Logos für die PayPal PLUS Seite"
